Date,Open,High,Low,Close,Volume
2019-08-20,42.576,42.725,42.33,42.478,11843156
2019-08-21,42.428,42.576,42.378,42.527,5712712
2019-08-22,42.478,42.527,42.181,42.428,8533390
2019-08-23,42.28,42.675,42.132,42.675,13597340
2019-08-26,41.588,41.983,41.44,41.983,16142861
2019-08-27,41.983,42.576,41.934,41.983,24416585
2019-08-28,42.132,42.231,41.885,41.983,10274504
2019-08-29,42.083,42.28,41.638,42.181,9501005
2019-08-30,42.378,42.576,41.885,42.378,22938853
2019-09-02,42.083,42.725,42.033,42.527,14835213
2019-09-03,42.576,42.576,42.231,42.378,9854662
2019-09-04,42.478,43.17,42.478,43.17,19458163
2019-09-05,43.465,44.255,43.465,43.663,31961581
2019-09-06,43.96,44.058,43.613,44.008,15066165
2019-09-09,44.355,44.404,44.058,44.207,16838873
2019-09-10,44.305,44.404,43.91,44.008,11122366
2019-09-11,44.058,44.255,43.762,43.91,23743271
2019-09-12,44.255,44.552,43.96,44.453,15434798
2019-09-13,44.453,44.848,44.404,44.799,3736906
2019-09-16,44.503,44.65,44.157,44.404,10607492
2019-09-17,44.207,44.207,43.268,43.465,13891997
2019-09-18,43.613,43.811,43.565,43.613,11223770
2019-09-19,43.811,43.86,43.465,43.663,10479530
2019-09-20,43.811,44.108,43.712,43.762,12626624
2019-09-23,43.613,43.613,43.07,43.218,12231016
2019-09-24,43.416,43.712,43.218,43.317,11283492
2019-09-25,43.12,43.317,42.971,42.971,14989117
2019-09-26,43.218,43.268,42.675,42.823,12783719
2019-09-27,42.675,42.873,42.576,42.774,9026874
2019-09-30,42.527,42.873,42.28,42.428,19646874
2019-10-02,42.132,42.28,42.083,42.083,3836012
2019-10-03,41.836,42.132,41.836,41.983,3661494
2019-10-04,42.181,42.378,41.934,42.033,5217622
2019-10-08,42.478,42.971,42.428,42.428,14689806
2019-10-09,42.033,42.626,42.033,42.527,10273078
2019-10-10,42.478,43.12,42.478,42.922,10957988
2019-10-11,43.317,43.762,43.12,43.613,26576990
2019-10-14,44.008,44.65,43.96,44.157,29352658
2019-10-15,44.108,44.255,43.91,43.96,20866030
2019-10-16,43.86,44.207,43.663,43.712,16137408
2019-10-17,43.762,43.91,43.565,43.91,14238394
2019-10-18,43.96,44.157,43.12,43.218,29888489
2019-10-21,43.268,43.465,43.17,43.416,17107849
2019-10-22,43.515,43.613,43.218,43.465,17136973
2019-10-23,43.613,43.613,43.07,43.268,8555039
2019-10-24,43.367,43.613,43.12,43.416,8283438
2019-10-25,43.367,43.712,43.021,43.515,11836636
2019-10-28,43.613,44.058,43.613,43.96,10853709
2019-10-29,44.058,44.108,43.811,43.811,12472016
2019-10-30,43.762,43.811,43.416,43.416,16404099
2019-10-31,43.515,43.811,43.515,43.663,9630533
2019-11-01,43.465,44.453,43.416,44.453,21387632
2019-11-04,44.503,44.848,44.503,44.799,15036323
2019-11-05,44.799,45.442,44.65,45.194,23480149
2019-11-06,45.095,45.244,44.848,44.947,11535499
2019-11-07,44.848,45.442,44.75,45.194,15109395
2019-11-08,45.442,45.49,44.898,44.997,12733669
2019-11-11,44.848,44.848,43.96,44.157,19199765
2019-11-12,44.157,44.255,43.712,43.96,17576842
2019-11-13,43.762,43.96,43.613,43.96,14716259
2019-11-14,43.91,44.058,43.762,44.008,9489816
2019-11-15,44.207,44.207,43.712,43.712,19834779
2019-11-18,43.712,44.108,43.613,44.008,14179002
2019-11-19,43.762,44.404,43.762,44.404,10355249
2019-11-20,44.157,44.255,43.811,43.91,10997504
2019-11-21,43.613,43.762,43.367,43.515,12292344
2019-11-22,43.712,44.058,43.021,43.218,24581695
2019-11-25,43.268,43.613,43.17,43.613,20034493
2019-11-26,43.811,43.96,43.515,43.613,14291412
2019-11-27,43.663,43.762,43.465,43.712,9600400
2019-11-28,43.663,43.762,43.317,43.416,9232416
2019-11-29,43.317,43.367,42.725,43.021,24777452
2019-12-02,43.218,43.317,43.021,43.021,8514785
2019-12-03,42.971,43.218,42.725,43.17,8888894
2019-12-04,42.823,43.021,42.774,42.823,19202774
2019-12-05,42.971,43.515,42.971,43.515,11119963
2019-12-06,43.367,43.96,43.367,43.91,17265430
2019-12-09,43.811,44.058,43.712,43.762,12236384
2019-12-10,43.663,43.86,43.613,43.811,5723724
2019-12-11,43.811,43.96,43.712,43.91,14485418
2019-12-12,43.96,43.96,43.663,43.663,18258833
2019-12-13,44.453,44.947,44.453,44.799,31140989
2019-12-16,44.404,44.799,44.404,44.602,16125496
2019-12-17,44.75,45.787,44.75,45.293,19864369
2019-12-18,45.342,45.589,45.194,45.293,15445606
2019-12-19,45.293,45.392,45.095,45.194,9548636
2019-12-20,45.194,45.49,45.145,45.244,17738364
2019-12-23,45.244,45.293,44.503,44.552,14445983
2019-12-24,44.65,44.65,44.503,44.602,2664799
2019-12-27,45.095,45.639,45.095,45.244,22394885
2019-12-30,45.046,45.985,45.046,45.787,22795790
2019-12-31,45.442,45.935,45.442,45.837,9700427
2020-01-02,46.527,47.022,46.33,46.972,26951530
2020-01-03,47.12,47.12,46.527,46.676,18790903
2020-01-06,46.577,46.972,46.083,46.479,24016572
2020-01-07,46.676,46.923,46.577,46.824,20679775
2020-01-08,46.429,46.874,46.28,46.527,18258958
2020-01-09,46.824,47.269,46.824,47.219,17983160
2020-01-10,47.269,47.318,46.874,47.071,10093299
2020-01-13,47.12,47.812,47.022,47.664,21067399
2020-01-14,48.009,48.157,47.565,47.565,16432837
2020-01-15,47.664,47.812,47.071,47.269,32148461
2020-01-16,47.17,47.367,46.972,47.12,17552071
2020-01-17,47.269,47.565,47.17,47.516,19076219
2020-01-20,47.664,47.812,47.318,47.565,16282902
2020-01-21,47.219,47.318,46.28,46.28,30795726
2020-01-22,46.28,46.923,45.639,46.577,29164477
2020-01-23,46.182,46.28,44.602,44.997,45872261
2020-01-24,44.947,45.342,44.947,45.342,8371833
2020-01-29,43.07,43.465,42.971,43.07,30201588
2020-01-30,42.971,42.971,41.293,41.539,22053982
2020-01-31,42.576,42.576,41.539,41.688,17677442
2020-02-03,41.539,41.786,39.761,40.206,64319512
2020-02-04,40.206,42.181,40.206,42.083,46778528
2020-02-05,42.181,42.971,42.083,42.576,34589356
2020-02-06,43.12,44.008,42.626,43.613,55552127
2020-02-07,43.712,43.712,43.07,43.465,27172177
2020-02-10,42.971,43.712,42.922,43.367,26810753
2020-02-11,43.663,44.355,43.663,44.058,32896562
2020-02-12,44.108,44.602,44.008,44.503,24430148
2020-02-13,44.503,44.7,44.108,44.157,18516300
2020-02-14,44.108,44.799,44.108,44.453,20958026
2020-02-17,44.404,45.639,44.404,45.54,32458165
2020-02-18,45.342,45.54,44.848,45.194,21412953
2020-02-19,45.046,45.54,45.046,45.095,14341571
2020-02-20,45.293,46.182,45.046,46.083,29055505
2020-02-21,45.837,46.527,45.787,45.837,37111302
2020-02-24,45.688,45.985,45.392,45.639,50458655
2020-02-25,45.293,45.837,44.75,45.837,44600821
2020-02-26,45.194,45.885,45.046,45.194,49307052
2020-02-27,45.392,45.885,45.392,45.737,34167454
2020-02-28,45.639,45.639,43.712,43.86,51941816
2020-03-02,44.157,45.935,44.157,45.688,32166787
2020-03-03,45.985,46.527,45.639,45.787,30594735
2020-03-04,45.935,46.33,45.688,46.034,26057316
2020-03-05,46.429,47.614,46.429,47.269,31870826
2020-03-06,46.824,47.022,46.33,46.627,26583112
2020-03-09,45.837,45.837,44.207,44.355,32756752
2020-03-10,44.848,46.132,44.404,45.837,31352722
2020-03-11,45.837,45.885,44.997,45.293,21879219
2020-03-12,44.453,44.503,43.811,44.157,31699289
2020-03-13,41.934,44.008,41.193,43.86,54885596
2020-03-16,43.416,43.416,40.946,41.391,25792162
2020-03-17,41.095,42.478,40.255,41.49,27272513
2020-03-18,41.49,42.132,39.811,40.206,22557950
2020-03-19,39.761,40.501,38.427,39.711,59121503
2020-03-20,40.304,40.798,39.563,40.798,42628891
2020-03-23,38.971,39.366,38.477,38.526,21087649
2020-03-24,39.711,40.106,39.069,39.909,25994431
2020-03-25,40.749,41.341,40.699,40.897,18214623
2020-03-26,40.798,40.996,40.156,40.65,13932172
2020-03-27,41.49,41.588,40.798,40.897,23920746
